Year,Month_number,Month,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Foreign_originating,Foreign_returning,US_citizen_originating,US_citizen_returning,Timestamp
2020,1,January,8,8,0,0,5274405,5520357,4073096,5218812,2020-01
2020,2,February,61,69,1,1,4470729,4448720,3902937,4155775,2020-02
2020,3,March,173074,173143,3326,3327,1960896,2946059,1844726,3053096,2020-03
2020,4,April,857163,1030306,57134,60461,54031,176627,32144,110285,2020-04
2020,5,May,755116,1785422,44864,105325,78337,192614,54368,107630,2020-05
2020,6,June,821191,2606613,22925,128250,192553,296440,176949,233242,2020-06
2020,7,July,1884228,4490841,28717,156967,364117,509035,564682,550151,2020-07
2020,8,August,1524538,6015379,31831,188798,511611,555222,650173,743896,2020-08
2020,9,September,1201705,7217084,21361,210159,527379,533384,669826,713192,2020-09
2020,10,October,1815557,9032641,23448,233607,660548,663964,938350,929802,2020-10
2020,11,November,4374916,13407557,41105,274712,758332,852429,1113967,1123877,2020-11
2020,12,December,6170028,19577585,77292,352004,973030,1234202,1673471,1233071,2020-12
2021,1,January,6285448,25863033,100119,452123,1070106,912401,1031897,1705730,2021-01
2021,2,February,2467058,28330091,67730,519853,642523,621728,930610,977938,2021-02
2021,3,March,1776581,30106672,33397,553250,985267,850768,1567802,1521142,2021-03
2021,4,April,1832202,31938874,20768,574018,1195001,1084334,1644043,1860562,2021-04
2021,5,May,981676,32920550,17442,591460,1539631,1495398,2172584,2125630,2021-05
2021,6,June,385721,33306271,9459,600919,1677295,1670204,3062053,2798564,2021-06
2021,7,July,1373312,34679583,9045,609964,2003171,1907322,3741455,3690861,2021-07
2021,8,August,4114589,38794172,31496,641460,2285225,1972080,3008119,3885490,2021-08
2021,9,September,4185050,42979222,54691,696151,1880901,1685527,2442932,2708408,2021-09
2021,10,October,2660463,45639685,48578,744729,2004798,1888181,2660699,2799089,2021-10
2021,11,November,2444998,48084683,31309,776038,2386605,2325762,2922586,3042638,2021-11
2021,12,December,5449603,53534286,43017,819055,2961261,3109323,3806456,3110132,2021-12
2022,1,January,20444764,73979050,65001,884056,2297976,2560780,2451568,3427143,2022-01
2022,2,February,4380740,78359790,63682,947738,2159719,2059187,2780138,2768462,2022-02
2022,3,March,1022157,79381947,27637,975375,2891467,2804452,4064617,4136776,2022-03
2022,4,April,1163440,80545387,13263,988638,3620601,3492844,4098816,4238337,2022-04
2022,5,May,2698000,83243387,9953,998591,3586937,3769071,4865598,4547457,2022-05
2022,6,June,3066561,86309948,9885,1008476,3532927,3565212,6368099,5633930,2022-06
2022,7,July,3922935,90232883,13117,1021593,4256790,3960824,6246102,6761233,2022-07
2022,8,August,2879420,93112303,13716,1035309,4494840,4482871,4941273,6175657,2022-08
2022,9,September,1858371,94970674,12795,1048104,3912896,3852874,4596103,4776526,2022-09
2022,10,October,1204618,96175292,11815,1059919,4099300,4145095,4409939,4823993,2022-10
2022,11,November,1125356,97300648,9574,1069493,3681261,4055261,4396369,4527182,2022-11
2022,12,December,2111048,99411696,12963,1082456,4383609,4403193,5461213,4544432,2022-12
2023,1,January,1522698,100934394,14578,1097034,4042751,4322085,4289832,5417214,2023-01
2023,2,February,1085170,102019564,12111,1109145,3617537,3540017,4262419,4352628,2023-02
2023,3,March,678002,102697566,7909,1117054,4297735,4099572,5662286,5691256,2023-03
2023,4,April,568838,103266404,7009,1124063,4578991,4426714,5271376,5623952,2023-04
2023,5,May,170425,103436829,5290,1129353,4420385,4713412,6047493,5685648,2023-05
2023,6,June,0,103436829,2373,1131726,4242765,4203675,7601997,6813843,2023-06
2023,7,July,0,103436829,2097,1133823,5093986,4753744,7168848,7911418,2023-07
2023,8,August,0,103436829,4608,1138431,5465332,5410511,5769557,6965791,2023-08
2023,9,September,0,103436829,5606,1144037,4734366,4627289,5361459,5488826,2023-09
2023,10,October,0,103436829,6652,1150689,4802583,4947657,5036375,5659172,2023-10
2023,11,November,0,103436829,5988,1156677,4323584,4730367,4971489,5081012,2023-11
2023,12,December,0,103436829,7817,1164494,5225743,5221210,6153699,5118298,2023-12
2024,1,January,0,103436829,11352,1175846,4766958,5085742,4659080,6028038,2024-01
2024,2,February,0,103436829,5625,1181471,4323391,4284762,4931487,4952302,2024-02
2024,3,March,0,103436829,3746,1185217,5028217,4778399,6456102,6391869,2024-03
2024,4,April,0,103436829,2566,1187783,4899277,4865465,5572076,6176782,2024-04
2024,5,May,0,103436829,1344,1189127,4998276,5295694,6737379,6172724,2024-05
2024,6,June,0,103436829,1560,1190687,4695670,4735124,8278595,7556228,2024-06
2024,7,July,0,103436829,3713,1194400,5519399,5184331,7644297,8388614,2024-07
2024,8,August,0,103436829,4770,1199170,5750460,5774248,6309221,7475923,2024-08
2024,9,September,0,103436829,4615,1203785,4875682,4937469,5492682,5837673,2024-09
2024,10,October,0,103436829,3767,1207552,4983113,5105172,5421907,5836487,2024-10
2024,11,November,0,103436829,2066,1209618,4454626,4952968,5281072,5206402,2024-11
2024,12,December,0,103436829,3255,1212873,5432140,5508230,6642383,5650862,2024-12
2025,1,January,0,103436829,3948,1216821,4848091,5236859,4970681,6434329,2025-01
2025,2,February,0,103436829,3016,1219837,4115637,4170631,4912048,5036802,2025-02
2025,3,March,0,103436829,2059,1221896,4540667,4708418,6557399,6739342,2025-03
2025,4,April,0,103436829,1771,1223667,5040051,4822189,5919390,6334486,2025-04
2025,5,May,0,103436829,823,1224490,4734661,5102066,6854690,6329121,2025-05
